Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"Guam","6","[3.7-9.8]","7.3","5.3","-",
"Brunei","6","[2.4-15.3]","2.8","3.1","-",
"Qatar","5","[2.8-8.9]","0.74","1.8","-",
"Belize","5","[2.2-11.5]","2.6","4.4","-",
"Maldives","5","[3.2-7.9]","2.6","3.7","-",
"Bahamas","4","[1.5-10.8]","2.0","1.1","-",
"French Guyana","3","[1.0-8.7]","2.1","2.3","-",
"Iceland","3","[1.4-6.6]","1.8","0.95","-",
"Samoa","2","[1.1-3.7]","2.1","2.5","-",
"Sao Tome and Principe","1","[0.10-12.9]","0.95","2.6","-",
"Saint Lucia","1","[0.40-2.7]","1.1","0.83","-",
