Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"United Arab Emirates","35","[22.4-54.6]","1.3","4.2","-",
"Kuwait","32","[18.2-56.2]","1.8","3.6","-",
"Trinidad and Tobago","29","[18.4-45.8]","4.2","2.7","-",
"France, La Réunion","29","[18.8-44.7]","6.4","3.3","-",
"Mauritius","26","[16.7-40.6]","4.1","2.4","-",
"Lesotho","26","[10.8-62.5]","2.2","3.0","-",
"Oman","25","[12.0-52.2]","1.5","2.6","-",
"Fiji","22","[12.8-37.7]","4.9","4.6","-",
"Cabo Verde","21","[12.4-35.5]","7.6","9.7","-",
"Botswana","21","[11.1-39.7]","1.8","2.2","-",
"Gabon","19","[9.7-37.2]","1.9","2.6","-",
"Montenegro","19","[10.8-33.5]","6.0","2.5","-",
"Luxembourg","17","[10.0-28.8]","5.8","2.5","-",
"Suriname","17","[9.6-30.1]","6.0","4.9","-",
"Namibia","16","[6.7-38.4]","1.2","1.8","-",
"Eswatini","16","[8.3-30.9]","2.2","3.2","-",
"France, Martinique","16","[9.0-28.4]","7.6","2.7","-",
"Gaza Strip and West Bank","15","[4.3-52.9]","0.60","1.2","-",
"Solomon Islands","12","[4.5-31.8]","3.9","6.7","-",
"French Polynesia","11","[6.2-19.4]","7.8","5.6","-",
"Timor-Leste","11","[3.7-32.9]","1.7","3.2","-",
"Bahrain","10","[4.2-23.9]","1.7","2.7","-",
"France, Guadeloupe","10","[5.0-19.9]","4.1","1.3","-",
"Comoros","10","[3.6-27.8]","2.4","3.9","-",
"Guyana","10","[5.0-20.0]","2.6","2.7","-",
"Equatorial Guinea","9","[3.9-21.0]","1.5","2.9","-",
"Malta","8","[3.9-16.4]","3.7","1.1","-",
"Djibouti","7","[2.5-19.5]","1.4","2.0","-",
"Iceland","7","[4.4-11.1]","4.2","2.0","-",
"Barbados","7","[3.1-15.7]","4.7","1.9","-",
"France, New Caledonia","7","[3.1-15.6]","5.0","3.4","-",
"Vanuatu","6","[2.3-15.8]","4.3","6.2","-",
"Bhutan","6","[4.8-7.5]","1.6","2.0","-",
"Qatar","5","[2.6-9.6]","0.74","1.8","-",
"Belize","5","[2.4-10.2]","2.6","4.4","-",
"Guam","5","[3.1-8.1]","6.1","4.9","-",
"Brunei","5","[2.7-9.1]","2.4","2.8","-",
"Maldives","5","[4.9-5.1]","2.6","3.7","-",
"Bahamas","4","[1.7-9.4]","2.0","1.1","-",
"Samoa","2","[0.40-9.7]","2.1","2.6","-",
"Sao Tome and Principe","1","[0.10-9.2]","0.95","2.6","-",
"French Guyana","1","[0.50-1.8]","0.69","0.70","-",
"Saint Lucia","1","[0.40-2.4]","1.1","0.34","-",
