Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"Namibia","31","[17.3-55.7]","2.5","4.2","-",
"Gaza Strip and West Bank","31","[14.5-66.4]","1.2","2.4","-",
"Bhutan","28","[23.9-32.8]","6.5","7.8","-",
"Timor-Leste","27","[12.9-56.3]","4.0","7.3","-",
"France, Martinique","25","[15.6-40.0]","14.3","5.9","-",
"Guam","25","[20.0-31.2]","29.8","24.5","-",
"Suriname","25","[14.9-42.0]","8.8","9.0","-",
"France, New Caledonia","25","[14.8-42.3]","17.7","14.3","-",
"Cabo Verde","24","[13.6-42.3]","8.7","11.3","-",
"French Polynesia","23","[11.7-45.3]","15.8","13.4","-",
"France, Guadeloupe","22","[12.7-38.1]","10.6","6.2","-",
"Vanuatu","22","[12.8-37.9]","15.4","20.2","-",
"Maldives","22","[15.8-30.6]","8.7","12.3","-",
"Bahrain","20","[11.1-36.0]","2.0","3.9","-",
"Eswatini","20","[12.0-33.4]","3.0","5.0","-",
"Comoros","18","[7.9-41.0]","4.3","7.6","-",
"French Guyana","18","[8.0-40.6]","12.4","15.5","-",
"Malta","15","[8.4-26.9]","6.9","3.5","-",
"Samoa","14","[6.6-29.9]","13.7","17.3","-",
"Belize","14","[6.8-28.7]","7.4","12.2","-",
"Iceland","12","[6.2-23.4]","7.1","4.1","-",
"Djibouti","11","[4.8-25.0]","2.3","3.1","-",
"Guyana","10","[4.9-20.5]","2.5","2.7","-",
"Bahamas","10","[4.1-24.4]","5.1","3.9","-",
"Sao Tome and Principe","7","[2.8-17.3]","6.7","14.8","-",
"Barbados","7","[2.7-18.1]","5.1","3.0","-",
"Saint Lucia","3","[1.7-5.4]","3.4","2.2","-",
